,word,year,count,language,Rank
7902,aluminium,1890,26699,english,3927.0
7903,aluminium,1891,19760,french,2985.0
6467,alva,1822,1247,italian,4161.0
6466,alva,1856,24188,english,3682.0
7209,aly,1800,854,spanish,3950.0
7208,aly,1815,3776,english,4930.0
8889,alza,1801,82,italian,4695.0
8888,alza,1904,4368,spanish,4176.0
10898,alzar,1807,1776,spanish,2561.0
10899,alzar,1811,464,italian,4418.0
6154,ama,1800,3336,spanish,883.0
6155,ama,1800,382,italian,2042.0
3988,amalia,1812,848,german,1487.0
3986,amalia,1815,244,spanish,4906.0
3987,amalia,1857,3188,italian,3111.0
7000,amanda,1807,3686,english,4516.0
7001,amanda,1868,5696,spanish,2033.0
5931,amante,1800,314,italian,2536.0
5930,amante,1800,988,spanish,3435.0
11059,amas,1800,3067,french,3896.0
11058,amas,1801,1924,spanish,1267.0
11937,amazonas,1831,2514,german,3218.0
11936,amazonas,1862,4162,spanish,3280.0
12015,ambiente,1800,222,italian,3616.0
12014,ambiente,1879,3166,spanish,3707.0
13113,ambition,1800,9846,french,1143.0
13112,ambition,1800,7748,english,1198.0
5520,amen,1800,1230,spanish,2770.0
5521,amen,1800,339,german,3171.0
8473,amende,1800,4176,french,2920.0
8472,amende,1810,797,italian,1786.0
9835,amendement,1817,3958,french,4951.0
9834,amendement,1844,5012,german,2676.0
7399,amer,1809,3476,french,4430.0
7398,amer,1937,34116,english,4818.0
1386,america,1800,12028,english,685.0
1388,america,1800,194,italian,4158.0
1387,america,1806,454,spanish,4748.0
1389,america,1809,294,german,4980.0
115,american,1800,7418,english,1261.0
116,american,1916,7934,spanish,2952.0
117,american,1917,1786,italian,4661.0
118,american,1931,8282,german,4477.0
119,american,1951,8363,french,4975.0
10692,americana,1804,594,spanish,4300.0
10693,americana,1809,1194,italian,1624.0
11019,americano,1809,1522,italian,1210.0
11018,americano,1810,226,spanish,2623.0
2205,ami,1800,15327,french,654.0
2202,ami,1802,2602,english,4668.0
2204,ami,1813,397,italian,4829.0
2203,ami,1866,5923,spanish,2182.0
9883,amie,1800,2795,french,4233.0
9882,amie,1812,340,italian,3253.0
8588,amiens,1806,436,italian,3901.0
8589,amiens,1820,6678,french,4221.0
5774,ammoniaco,1800,914,spanish,3705.0
5775,ammoniaco,1800,182,italian,4446.0
7847,ammonium,1809,350,german,4256.0
7846,ammonium,1894,27504,english,4323.0
6202,amo,1800,1720,spanish,1970.0
6203,amo,1807,384,italian,4035.0
4130,amor,1800,24034,spanish,21.0
4131,amor,1800,643,italian,1095.0
4132,amor,1804,395,german,3946.0
7285,amplitude,1933,12632,french,3795.0
